Fecha,Encuestador,Oviedo,Molano,Lara,Galán,Robledo,Bolívar,Vargas,Quintero,Ramos,Voto en Blanco,Ninguno,NS/NR,Margen de error,Fuente
2023-08-01,Mosqueteros,24.5,6.8,5.7,16.3,7.8,17.9,3.2,1.2,3.4,13.1,NA,NA,2.8,W Radio[28]​
2023-08-04,CNC,15.6,5.1,10,22,4.3,18.2,2.2,1.9,1.3,3.9,8.1,7.4,4.3,CNC[29]​
2023-08-08,Guarumo y EcoAnalítica,16.9,8.2,10.6,20.8,3.3,17.4,2.9,0.3,0.2,8.8,NA,10.6,3,Guarumo[30]​
2023-08-22,Mosqueteros,17.8,7.3,10,20.8,5,18.2,3.4,1.6,1.8,14.1,NA,NA,2.8,Infobae[31]​
2023-08-30,Invamer,16.8,7.5,7.4,26.6,5,20.3,6,0.6,1.2,8.5,NA,9.3,5.1,Noticias Caracol[32]​
2023-09-04,TYSE,12,4.2,2.7,11.4,1.4,15.3,0.8,0,0.2,15.1,NA,36.9,2.6,Bloomberg[33]​
2023-09-10,GAD3,20.1,8.5,8.8,32.4,3.6,18.2,1.7,1.7,0.7,4.3,NA,NA,5,Noticias RCN[34]​
2023-09-13,Guarumo y EcoAnalítica,12.2,9.2,8.7,32.7,2.4,18.6,4.9,0.1,0.4,7.3,NA,3.5,3.7,Semana[35]​
2023-09-16,Mosqueteros,16,7.7,13.1,22.8,5.1,18.4,3.9,1.5,1.3,10.2,NA,NA,2.8,W Radio[36]​
2023-09-20,CNC,17,5,3,29,6,20,2,1,0,6,3,8,3.7,Canal 1[37]​
2023-09-24,Emporia CyA,15.4,6.2,10.1,31.2,3.1,17.3,4.4,0.7,0.6,4.6,NA,6.4,3.1,Emporia[38]​
2023-09-25,Atlas Intel,16.6,7,5.2,34.7,1.8,22.5,2.4,0.8,0.6,3.2,NA,5.2,3,La Silla Vacía[39]​
2023-09-26,Invamer,20.5,4.6,5.2,32.9,6.5,22.6,2.1,0,0.3,5.3,NA,12.2,5.1,El Espectador[40]​
2023-10-02,Emporia CyA,18.4,4.8,7.7,33.1,3.2,22.5,4.2,0.4,0.4,4.1,NA,1.2,3.1,Emporia[41]​
2023-10-05,Mosqueteros,17,6,13.1,33.1,3.1,20.1,2.1,0.2,0.2,5.1,NA,NA,2.8,Valora Analitick[42]​
2023-10-05,GAD3,18.3,4.7,4.2,37.2,0.6,24.5,1,1.8,3.2,4.5,NA,NA,5,Noticias RCN[43]​
2023-10-06,Guarumo y EcoAnalítica,14.4,8.7,7.3,37.9,2.8,18.3,5,0.6,1,4,NA,NA,3.5,Infobae[44]​
2023-10-08,Gauss,12.2,2.6,12.7,28.9,1.4,27.3,4.2,0,0,3.6,NA,7.1,3,Infobae[45]​
2023-10-10,GAD3,19.6,4.5,5,36.6,1.2,23.8,1.7,1.6,1.5,4.6,NA,NA,4.9,Asuntos Legales[46]​
2023-10-11,GAD3,19.6,3.4,5.2,37.8,0.9,24.9,1.9,0.6,0.5,5.2,NA,NA,4.9,Noticias RCN[47]​
