Fecha,Encuestador,Alejandro Char,Luis Guzmán,Marco Orozco,Harry Silva,Hassan Fares,Antonio Bohórquez,Ronald Valdés,Rigail Romero,Voto en Blanco,Ninguno,NS/NR,Margen de error,Fuente
2023-08-03,CNC,71.1,0.2,2.4,1.1,2.5,7.8,0.7,0,2.4,7.6,4.2,4.4,CNC[11]​
2023-08-06,Guarumo-EcoAnalítica,67.5,0.4,1.8,0.6,2.1,7.4,1.3,0,6.5,NA,12.4,3,Guarumo[12]​
2023-08-27,Invamer,86.2,1.9,2.3,0.4,0.5,5.9,0.6,0.4,1.7,NA,8.2,4.9,Invamer[13]​
2023-09-03,Datanálisis,83.4,1,0.9,0.8,2,7.6,0.6,0,3.7,NA,NA,2.9,Zona Cero[14]​
2023-09-05,CNC,68,2,3,2,2,7,0,NA,2,2,11,4.8,Canal 1 / CM&[16]​
2023-09-07,GAD3,81.2,2.8,NA,1.9,1.3,7.2,0.1,NA,5.6,NA,NA,5,Noticias RCN[18]​
2023-09-13,Guarumo-EcoAnalítica,73.3,1.7,NA,1.5,3.6,7.1,0.9,NA,5.2,NA,6.7,3.7,Semana[19]​
2023-09-13,Emporia CyA,82.3,1.6,NA,1.2,1.6,6.5,0,NA,4.3,NA,1.7,3.3,Emporia[20]​
2023-09-25,Atlas Intel,41.4,3.7,NA,1.3,2.9,16.8,1,NA,15.8,NA,17,3,La Silla Vacía[21]​
2023-09-26,Invamer,84.5,3.1,NA,1.5,2.5,6.2,0,NA,2.2,NA,NA,4.9,Semana[23]​
2023-10-05,GAD3,76.4,0.9,NA,1.3,0,11.4,0,NA,6.9,NA,NA,5,RCN[24]​
2023-10-10,GAD3,76.6,0.4,NA,1.4,0,11.7,0,NA,6.8,NA,NA,6.6,RCN[25]​
2023-10-11,GAD3,76.4,0.5,NA,1,0,12.1,0,NA,6.7,NA,NA,6.6,Noticias RCN[26]​
2023-10-12,GAD3,75.9,1.7,NA,1.1,0,11.2,0,NA,7,NA,NA,6.6,Noticias RCN[27]​
2023-10-12,Atlas Intel,50.8,1.9,NA,2,3.6,17.3,1,NA,10.8,NA,12.6,3,La Silla Vacía[28]​
2023-10-13,GAD3,74.3,1.6,NA,2,0,11.5,0,NA,7,NA,NA,4.6,Semana[29]​
2023-10-14,Emporia CyA,77.9,1.5,NA,2.1,2.9,8.7,0.8,NA,4.2,NA,1.9,3.3,Emporia[30]​
2023-10-16,GAD3,74.1,2,NA,2.2,0,11.1,0,NA,7.3,NA,NA,4.3,Noticias RCN[31]​
2023-10-17,GAD3,73.1,2.4,NA,3,0,10.7,0,NA,7.9,NA,NA,4,El Tiempo[32]​
2023-10-17,Invamer,82.9,0.5,NA,3.2,3.1,7.4,0.8,NA,2,NA,5.1,5.4,El Heraldo[33]​
2023-10-18,GAD3,73.9,1.7,NA,2.8,0,10.8,0,NA,8.1,NA,NA,3.8,La FM[34]​
2023-10-19,GAD3,74.5,1.6,NA,2.3,0,10.6,0,NA,8.4,NA,NA,3.6,La FM[35]​
2023-10-20,GAD3,74.1,1.4,NA,2,0,11.4,0,NA,8.4,NA,NA,3.6,La FM[36]​
2023-10-23,GAD3,73.6,1.5,NA,1.5,0,12,0,NA,8.6,NA,NA,3.4,Noticias RCN[37]​
