Fecha,Encuestador,Alejandro Eder,Diana Rojas,Roberto Ortiz,Deninson Mendoza,Miyerlandi Torres,Danis Rentería,Edilson Huérfano,Wilson Ruiz,Armando Aristizábal,Javier Garcés,Wilfredo Pardo,Heriberto Escobar,Eder Arrieta,Voto en blanco,Ninguno,NS/NR,Margen de error,Fuente
2023-08-01,Mosqueteros,11.9,8.4,32,1.1,12.8,2.9,0.4,11.4,1.7,1,0.3,1.2,0,14.8,NA,NA,2.8,W Radio[12]​
2023-08-03,CNC,15.8,14,26.1,2.3,9.1,0,2,3.5,0,0,0,0,0,10,10.3,6.9,4.3,Semana[13]​
2023-08-06,Guarumo y EcoAnalítica,16.5,13.2,27.6,1.7,8.6,0,4.4,5,0,0.4,1.3,0.4,0,7.4,NA,13.5,3,Guarumo[14]​
2023-08-14,Analizar & Lombana,15.4,9.9,23.4,2,6.9,2.1,1.5,1.5,0,0.7,0.4,0.6,0,13.8,NA,19.2,3.2,Analizar[15]​
2023-08-22,CNC,9.7,6.8,22.9,1.8,9.1,3.5,2.1,1.3,0.1,3.4,0.1,1.1,2.3,16.8,8.8,10.2,4.5,El País[16]​
2023-08-27,Invamer,15.8,10.7,43.8,1.6,7.7,4.5,2,3.4,2.4,0.1,0,0.9,0,7.2,NA,19.2,5.6,El Espectador[17]​
2023-09-13,Guarumo y EcoAnalítica,17.4,10.5,22.8,1.1,3.2,8.1,1.7,0.7,NA,NA,1.1,0.1,NA,10.7,NA,18,3.7,Semana[21]​
2023-09-16,Mosqueteros,17.2,10.1,35.1,0.9,20.3,9.1,1.5,0.2,NA,NA,0.2,1.1,NA,3.3,NA,NA,2.8,W Radio[22]​
2023-09-18,MM Consultores,14.6,6.9,32.4,0.5,8.2,3.4,0.8,0.5,NA,NA,0.3,0.5,NA,24.2,NA,7.6,4,MM Consultor[23]​
2023-09-19,CNC,16,11,18,6,5,4,3,2,NA,NA,0,0,NA,5,6,17,4.5,El Tiempo[24]​
2023-09-22,Emporia CyA,16.5,10.9,28.4,6.1,6.9,4.3,1.8,1.8,NA,NA,0,1.8,NA,6.7,NA,12.7,3.3,Emporia[25]​
2023-09-25,Atlas Intel,26.6,2.2,24.8,2.7,4.3,7.2,7.1,0.5,NA,NA,0,0.9,NA,13,NA,10.7,3,La Silla Vacía[26]​
2023-09-26,Invamer,23.1,13.1,33.6,2.7,6.8,7.1,4.2,1.8,NA,NA,0,0.8,NA,3.7,NA,19.4,5.4,Semana[27]​
2023-10-01,Mosqueteros,11.8,NA,40.7,0.2,24.9,3,1.1,0.4,NA,NA,0,1,NA,16.9,NA,NA,2.8,W Radio[29]​
2023-10-02,Emporia CyA,25.7,NA,34.2,6.2,6.6,5.4,2.1,1.6,NA,NA,0,0.9,NA,6.3,NA,8.7,3.3,Emporia[30]​
2023-10-05,GAD3,25.5,NA,38.7,2.5,11.1,8.2,0,0,NA,NA,0,0,NA,8.6,NA,NA,5,RCN[31]​
2023-10-06,Guarumo y EcoAnalítica,38.7,NA,27.5,6.3,12.1,0,2.9,0,NA,NA,0,1.3,NA,11.2,NA,NA,3.7,El País[32]​
2023-10-08,Mosqueteros,7.9,NA,44.3,0.2,28.8,3.6,0.3,0.2,NA,NA,0.2,0.6,NA,14,NA,NA,2.8,JPG IM[33]​
2023-10-10,MM Consultores,23.5,NA,36.7,0.8,11.6,8.2,1.4,0.6,NA,NA,0.8,0.6,NA,13,NA,2.6,4.4,MM Consultor[34]​
2023-10-10,GAD3,27.2,NA,37.1,2.1,11.6,7.5,0,0,NA,NA,0,0,NA,8.7,NA,NA,4.9,RCN[35]​
2023-10-11,GAD3,28.8,NA,35.6,2.7,10.7,8.1,0,NA,NA,NA,0,0,NA,8.4,NA,NA,4.9,Noticias RCN[37]​
2023-10-12,GAD3,30,NA,33.8,3.7,10.1,9.7,0,NA,NA,NA,0,0,NA,8.3,NA,NA,4.9,Noticias RCN[38]​
2023-10-12,Atlas Intel,30.4,NA,24.7,2,4.1,8.7,4.5,NA,NA,NA,0,0.3,NA,7.7,NA,15.6,3,La Silla Vacía[39]​
2023-10-13,GAD3,30.3,NA,33.3,4,9.4,10.3,0,NA,NA,NA,0,0,NA,8.4,NA,NA,3.5,Semana[40]​
2023-10-14,Emporia CyA,30.5,NA,31.4,7.7,10.1,5.3,1.3,NA,NA,NA,0,0.2,NA,7.1,NA,4.1,3.3,Emporia[41]​
2023-10-16,GAD3,29.3,NA,33.8,3.2,10.7,10,0,NA,NA,NA,0,0,NA,8.6,NA,NA,3.2,Noticias RCN[42]​
2023-10-16,Mosqueteros,14.7,NA,47.3,0.1,30.2,1.5,0.3,NA,NA,NA,0,0.4,NA,5.6,NA,NA,2.8,JPG IM[43]​
2023-10-17,GAD3,29.6,NA,33.9,3.5,10,10.7,0,NA,NA,NA,0,0,NA,8.9,NA,NA,3.2,El Tiempo[44]​
2023-10-18,GAD3,28.9,NA,34.9,3.5,9.8,10.1,0,NA,NA,NA,0,0,NA,9.3,NA,NA,2.8,La FM[45]​
2023-10-19,GAD3,28.7,NA,36.2,3.3,9.2,9.4,0,NA,NA,NA,0,0,NA,9.6,NA,NA,2.7,La FM[46]​
2023-10-19,CNC,32,NA,28,2,5,4,3,NA,NA,NA,0,4,NA,5,6,10,4.5,El Tiempo[47]​
2023-10-20,GAD3,28.8,NA,36.9,3.1,9,8.8,0,NA,NA,NA,0,0,NA,9.7,NA,NA,2.7,La FM[48]​
2023-10-23,GAD3,29.2,NA,37.2,2.9,9.3,8.6,0,NA,NA,NA,0,0,NA,8.8,NA,NA,2.6,Noticias RCN[49]​
2023-10-23,Invamer,27.6,NA,35.5,2.3,9.1,11.1,2.6,NA,NA,NA,0.8,0.5,NA,10.3,NA,9,3.6,Infobae[50]​
2023-10-24,GAD3,29.9,NA,36.4,3.3,9,9,0,NA,NA,NA,0,0,NA,8.2,NA,NA,2.5,Noticias RCN[51]​
2023-10-25,GAD3,30.4,NA,36,3.1,8.9,8.7,0,NA,NA,NA,0,0,NA,8.5,NA,NA,2.5,Noticias RCN[52]​
2023-10-25,Mosqueteros,19.2,NA,32.7,1,26.3,1.2,1.3,NA,NA,NA,0.5,0.5,NA,16.7,NA,NA,2.8,JPG IM[53]​
2023-10-25,Guarumo y EcoAnalítica,33.1,NA,32.2,4.3,6.5,9.7,2.4,NA,NA,NA,1,6,NA,4.8,NA,NA,3.7,Guarumo[54]​
2023-10-25,MM Consultores,25.1,NA,38.7,2.2,13,9.6,1,NA,NA,NA,0.4,0.4,NA,7.4,NA,2,4.4,MM Consultor[55]​
2023-10-26,GAD3,31.7,NA,35.3,3.4,8.6,8.8,0,NA,NA,NA,0,0,NA,8,NA,NA,2.5,La FM[56]​
2023-10-26,Emporia CyA,32.8,NA,31.7,7.8,8.7,8.1,1.3,NA,NA,NA,0,1.1,NA,4.1,NA,NA,3.3,La FM[57]​
2023-10-26,Atlas Intel,30.1,NA,25.3,3.2,5.4,9.9,5.4,NA,NA,NA,0,1.6,NA,5.6,NA,12.5,3,La Silla Vacía[58]​
2023-10-27,CNC,35,NA,35,3,7,5,3,NA,NA,NA,0,1,NA,8,NA,NA,4.4,Canal 1[59]​
2023-10-27,GAD3,35.5,NA,37.1,3.4,7,6.6,0,NA,NA,NA,0,0,NA,7.7,NA,NA,2.5,Noticias RCN[60]​
