Fecha,Encuestador,Aguinaga,Ballesteros,Bermúdez,Correa,Corredor,Duque,Gutiérrez,Hernández,Rendón,Restrepo,Tobón,Upegui,Valderrama,Mejía,Voto en Blanco,Ninguno,NS/NR,Margen de error,Fuente
2023-08-01,Mosqueteros,1.1,0.8,0,6.8,0,1.9,34.2,0.8,7.9,10.3,0,9.3,2.3,0,21.7,NA,NA,2.8,W Radio[20]​
2023-08-03,IFM,0.2,0,0.2,1.4,4,5.3,42.5,0,0.8,0.9,1.5,13.4,8.3,0,18.6,NA,NA,2.2,IFM[21]​
2023-08-04,CNC,1.9,0.4,0,2.7,1.5,2.8,55.4,0.7,3.5,2,2.9,4.8,0.6,0,5.1,7.4,5.6,4.8,Semana[22]​
2023-08-08,Guarumo y EcoAnalítica,2,0.4,0.4,3.5,3.4,2.5,51.5,0.5,4.2,3.7,3.8,5.1,1.1,0,6.3,NA,8.9,3,Guarumo[23]​
2023-08-22,Mosqueteros,1.7,0.7,0.3,8.4,5.7,1.9,47.6,0.7,7.8,2.3,3.3,10.1,1.3,0,6.3,NA,NA,2.8,Infobae[24]​
2023-08-30,Invamer,0.4,0,1,1.2,6,0.8,63.3,0,2.8,1,2.4,11.2,1.4,0,4.7,NA,12,5.1,Blu Radio[25]​
2023-09-06,TYSE,0.3,0.2,0.1,0.4,2.1,NA,51.6,0.5,0.5,0.1,1.2,9.1,0.3,3.7,15,NA,13.9,2.6,Gran Ciudad[27]​
2023-09-10,GAD3,2.2,0,0.8,0,4.1,NA,66.6,NA,0,4.4,3.2,11.2,0.5,0.6,6.3,NA,NA,5,Noticias RCN[28]​
2023-09-13,Guarumo y EcoAnalítica,0,0.1,0,2.7,5.1,NA,53.1,NA,1.4,1.3,7.5,11,1.6,0.1,8,NA,6.3,3.7,Semana[29]​
2023-09-16,Mosqueteros,2,0.1,0.6,1.2,7,NA,59.7,NA,2.3,2.3,3.3,14.4,0.1,0.1,5.9,NA,NA,2.8,W Radio[30]​
2023-09-18,CNC,4,0,0,2,3,NA,53,NA,1,1,3,11,0,0,4,5,12,4.3,El Tiempo[31]​
2023-09-22,Emporia CyA,3.8,0,0,3.4,9.1,NA,57.4,NA,0.8,1.1,3.4,13.3,0.9,0,6.2,NA,8.1,3.1,Emporia[32]​
2023-09-25,Atlas Intel,0.2,0.1,0,3.2,3.9,NA,68.7,NA,0,0.6,3.3,12.5,0,0,1.4,NA,5.3,3,La Silla Vacía[33]​
2023-09-26,Invamer,3.1,0.8,0,1,4.8,NA,64.5,NA,1.2,0.5,2,14.8,0.7,0,5.2,NA,6.7,5.5,Valora Analitick[34]​
2023-10-02,Emporia CyA,1.7,0.4,0,1.7,12.1,NA,53.6,NA,1.4,1.1,2.6,14.6,0.6,0.3,4.1,NA,4.3,3.1,Emporia[35]​
2023-10-03,WAA,3.4,0.2,0,13.7,7.7,NA,42.7,NA,2,1.6,2.7,13.9,1.1,0.7,2.6,3,NA,2.6,El Espectador[36]​
2023-10-05,Mosqueteros,2.2,0.3,0.4,1.2,7.6,NA,48,NA,2.3,2.3,3.3,21,2.5,0.3,8,NA,NA,2.8,Valora Analitick[37]​
2023-10-08,GAD3,1.5,0,0,2.4,2,NA,67.5,NA,0,0,4.4,11.6,0,0,8.2,NA,NA,5,El Colombiano[38]​
2023-10-11,GAD3,0,0,0,2.6,2.6,NA,64.8,NA,0,0,4.9,12.3,0,0,7.8,NA,NA,6.6,Noticias RCN[39]​
2023-10-12,GAD3,1.9,0,0,1.7,2.4,NA,64.9,NA,0,0,5.6,13.5,0,0,7.6,NA,NA,6.6,Noticias RCN[40]​
2023-10-13,GAD3,1.7,0,0,1,3,NA,64.7,NA,0,0,5.3,15.1,0,0,6.8,NA,NA,6.6,Noticias RCN[41]​
2023-10-13,Atlas Intel,1.4,0.6,0,2.4,2.7,NA,65.1,NA,0,0.5,1.8,14.5,0.4,0,3.5,NA,5.2,3,La Silla Vacía[42]​
2023-10-13,Good People Marketing,0.8,0.2,1.8,4.5,3.7,NA,46.6,NA,0.9,2,0.5,24.1,0.8,1.2,6.6,NA,2.7,3,Telemedellín[43]​
2023-10-16,GAD3,1.4,0,0,0.7,3.2,NA,65.3,NA,0,0,4.5,15,0,0,7.5,NA,NA,4.6,Semana[44]​
2023-10-17,GAD3,1.2,0,0,0.8,3.1,NA,66.5,NA,0,0,3.9,14.5,0,0,7.6,NA,NA,4.3,Noticias RCN[45]​
2023-10-18,Emporia CyA,1.2,0.4,0,2.1,6.1,NA,52.3,NA,0.8,0.3,2.9,14.7,0.4,0,7.5,NA,NA,3.1,Emporia[46]​
2023-10-18,GAD3,1.1,0,0,0.8,3.2,NA,66.1,NA,0,0,3.6,14.8,0,0,7.9,NA,NA,4,El Tiempo[47]​
2023-10-18,CNC,0,0,0,0,2,NA,56,NA,0,0,2,15,0,0,4,2,10,3.8,Canal 1[48]​
2023-10-19,GAD3,1.5,0,0,1.5,3.1,NA,65.5,NA,0,0,3.3,14.2,0,0,8.1,NA,NA,3.8,La FM[49]​
2023-10-20,GAD3,1.7,0,0,1.8,3.1,NA,64.9,NA,0,0,3.1,13.8,0,0,8.5,NA,NA,3.6,La FM[50]​
