Candidato,Método,Intención de voto (%),L. Inferior,L. Superior
Alejandro Char,t-student,74.190625,70.91364010362354,77.46760989637647
Luis Guzmán,t-student,1.625,1.3375886927984848,1.9124113072015152
Marco Orozco,t-student,2.08,1.104681030689644,3.0553189693103566
Harry Silva,t-student,1.671875,1.441793841604705,1.901956158395295
Hassan Fares,t-student,1.365625,0.8572613045768133,1.8739886954231868
Antonio Bohórquez,t-student,10.26875,9.06496054388772,11.47253945611228
Ronald Valdés,t-student,0.340625,0.1882494269982435,0.4930005730017564
Rigail Romero,t-student,0.1,-0.2182446305283708,0.41824463052837085
Voto en Blanco,t-student,6.2125,5.121975730907323,7.303024269092678
Ninguno,t-student,4.8,-30.77737326128914,40.377373261289144
NS/NR,t-student,7.458333333333333,4.38524774758656,10.531418919080105
Alejandro Char,t-student - log,73.53800303169993,70.8213707309421,78.44968035229385
Luis Guzmán,t-student - log,1.4989118988239212,2.2186275762676506,2.814605184250376
Marco Orozco,t-student - log,1.9894610278608242,2.1031546249163493,4.2492725600021695
Harry Silva,t-student - log,1.5972925318885722,2.377665417041338,2.8372068028808224
Hassan Fares,t-student - log,0.9526317894351508,1.5485763623228714,2.4621135888924104
Antonio Bohórquez,t-student - log,9.84698982710167,9.821753381593279,11.97924481892874
Ronald Valdés,t-student - log,0.28211486005532194,1.151735439068623,1.427253567628334
Rigail Romero,t-student - log,0.08775730593727718,0.8322826707114289,1.4216515593296197
Voto en Blanco,t-student - log,5.583335958004382,5.5982456795186595,7.741766763562243
Ninguno,t-student - log,4.079370039680117,0.006310237462713009,4088.594153936578
NS/NR,t-student - log,6.189134603370155,4.864499292368398,10.624661088235188
Alejandro Char,BootPromedio-ICQ,74.181196875,70.77484375,77.00023437499999
Luis Guzmán,BootPromedio-ICQ,1.624395,1.356171875,1.89375
Marco Orozco,BootPromedio-ICQ,2.081026,1.44,2.64
Harry Silva,BootPromedio-ICQ,1.66929875,1.45625,1.89375
Hassan Fares,BootPromedio-ICQ,1.36698875,0.896875,1.853125
Antonio Bohórquez,BootPromedio-ICQ,10.265996875,9.18125,11.481328125
Ronald Valdés,BootPromedio-ICQ,0.34163625,0.203125,0.490625
Rigail Romero,BootPromedio-ICQ,0.10033,0,0.30000000000000004
Voto en Blanco,BootPromedio-ICQ,6.2110115625,5.209375,7.28125
Ninguno,BootPromedio-ICQ,4.81624,2,7.6
NS/NR,BootPromedio-ICQ,7.4761225,4.975,10.2
Alejandro Char,BootPromedio-ICEE,74.181196875,71.09145870806594,77.27093504193405
Luis Guzmán,BootPromedio-ICEE,1.624395,1.3540849671914474,1.8947050328085526
Marco Orozco,BootPromedio-ICEE,2.081026,1.465876892037913,2.696175107962087
Harry Silva,BootPromedio-ICEE,1.66929875,1.4502802396741974,1.8883172603258027
Hassan Fares,BootPromedio-ICEE,1.36698875,0.8880345173395259,1.845942982660474
Antonio Bohórquez,BootPromedio-ICEE,10.265996875,9.11651301889431,11.415480731105692
Ronald Valdés,BootPromedio-ICEE,0.34163625,0.1974523015276402,0.48582019847235974
Rigail Romero,BootPromedio-ICEE,0.10033,-0.07059921832232449,0.27125921832232447
Voto en Blanco,BootPromedio-ICEE,6.2110115625,5.167060691908077,7.254962433091924
Ninguno,BootPromedio-ICEE,4.81624,0.9271172905351319,8.705362709464868
NS/NR,BootPromedio-ICEE,7.4761225,4.85934262102915,10.09290237897085
Alejandro Char,BootMediana-ICQ,74.89701,73.75,76.6
Luis Guzmán,BootMediana-ICQ,1.69461,1.5,1.9
Marco Orozco,BootMediana-ICQ,2.15826,0.9,3
Harry Silva,BootMediana-ICQ,1.638565,1.4,2
Hassan Fares,BootMediana-ICQ,1.073755,0,2.1
Antonio Bohórquez,BootMediana-ICQ,10.4211,7.8,11.2
Ronald Valdés,BootMediana-ICQ,0.11706,0,0.6
Rigail Romero,BootMediana-ICQ,0.06342,0,0.4
Voto en Blanco,BootMediana-ICQ,6.48716,4.7,7.65
Ninguno,BootMediana-ICQ,4.81624,2,7.6
NS/NR,BootMediana-ICQ,6.657695,3.75,11.7
Alejandro Char,BootMáximo-ICQ,85.41267,82.9,86.2
Luis Guzmán,BootMáximo-ICQ,3.4243300000000003,2.4,3.7
Marco Orozco,BootMáximo-ICQ,2.79067,2.3,3
Harry Silva,BootMáximo-ICQ,3.0784700000000003,2.3,3.2
Hassan Fares,BootMáximo-ICQ,3.67967,3.6,3.7
Antonio Bohórquez,BootMáximo-ICQ,19.25859,12.1,20.8
Ronald Valdés,BootMáximo-ICQ,1.1922300000000001,1,1.3
Rigail Romero,BootMáximo-ICQ,0.273,0,0.4
Voto en Blanco,BootMáximo-ICQ,13.73644,8.6,15.8
Ninguno,BootMáximo-ICQ,6.21008,2,7.6
NS/NR,BootMáximo-ICQ,15.35303,11,17
