Candidato,Método,Intención de voto (%),L. Inferior,L. Superior
Consuelo Ordoñez,t-student,7.434210526315789,6.648529612471374,8.219891440160206
Fabián Oviedo,t-student,10.636842105263158,9.523860682270309,11.749823528256009
Horacio Serpa,t-student,11.85,10.894430252359317,12.805569747640682
Jaime Beltrán,t-student,32.48947368421052,30.566897394155117,34.412049974265926
Carlos Sotomonte,t-student,3.468421052631579,2.8702915003565788,4.066550604906579
Manuel Parada,t-student,0.26,0.08928528551214317,0.4307147144878568
Ludwing Mantilla,t-student,0.5789473684210527,0.286035297302285,0.8718594395398204
Luis R. Ordoñez,t-student,1.7736842105263158,0.9141222165381835,2.633246204514448
Emiro Arias,t-student,1.2333333333333334,-0.64003911152238,3.106705778189047
Jorge Figueroa,t-student,0.47368421052631576,0.24105249965788117,0.7063159213947504
Diego Tamayo,t-student,3.242857142857143,0.6248971566021428,5.860817129112143
Carlos Parra,t-student,9.384210526315789,8.380597149682826,10.387823902948753
Jaime Calderón,t-student,4.410526315789474,3.7670236821071206,5.054028949471826
Giovanni Álvarez,t-student,0.15789473684210525,0.04992111887318974,0.2658683548110207
José Velasquez,t-student,0.3815789473684211,0.14212237078769072,0.6210355239491515
Álvaro Torres,t-student,0.11842105263157895,0.032011384282900936,0.20483072098025695
Voto en Blanco,t-student,6.994736842105263,5.839618106862194,8.149855577348331
Ninguno,t-student,7.766666666666667,-5.132523881934306,20.66585721526764
NS/NR,t-student,17.04,10.414440697686063,23.665559302313937
Consuelo Ordoñez,t-student - log,7.085927293247519,7.321834479358308,8.929759389673512
Fabián Oviedo,t-student - log,10.140878571045034,10.072861537028096,12.322136552607738
Horacio Serpa,t-student - log,11.48599032751023,11.483811533638471,13.575628091946271
Jaime Beltrán,t-student - log,31.8924025516341,30.765213548139524,35.166671082124594
Carlos Sotomonte,t-student - log,3.0472830263038695,3.4476007069227483,4.751275245452738
Manuel Parada,t-student - log,0.2169966496663742,1.0769710905273382,1.3752280430981385
Ludwing Mantilla,t-student - log,0.40748551744184364,1.2130936929564529,1.6330275998555108
Luis R. Ordoñez,t-student - log,0.9683584031278953,1.513531391445544,2.5598641858784323
Emiro Arias,t-student - log,0.7757136133920175,0.8396415171418709,3.7553631787039876
Jorge Figueroa,t-student - log,0.3547753749033043,1.1915064601396057,1.540416588450001
Diego Tamayo,t-student - log,2.3833370892768966,1.6619144572446316,6.88782133748036
Carlos Parra,t-student - log,8.8540589553667,8.779328695887658,11.060353389129467
Jaime Calderón,t-student - log,3.8386724530082557,4.0210756503173055,5.8225094834148194
Giovanni Álvarez,t-student - log,0.12380022343492006,1.04139338047296,1.2127280294587666
José Velasquez,t-student - log,0.26676370211875194,1.1179479569734954,1.43538906887027
Álvaro Torres,t-student - log,0.09569734266178101,1.0286355390546258,1.1671312346639937
Voto en Blanco,t-student - log,5.707834433228275,5.284072357563292,8.515220787845532
Ninguno,t-student - log,6.705994095802975,1.580272050133271,37.57729246653599
NS/NR,t-student - log,15.267894518209353,11.676294534971024,22.66510075289419
Consuelo Ordoñez,BootPromedio-ICQ,7.429437105263158,6.678947368421053,8.184276315789473
Fabián Oviedo,BootPromedio-ICQ,10.632122894736842,9.571052631578947,11.702631578947368
Horacio Serpa,BootPromedio-ICQ,11.848058421052631,10.923684210526316,12.734276315789474
Jaime Beltrán,BootPromedio-ICQ,32.48017289473684,30.63421052631579,34.22381578947368
Carlos Sotomonte,BootPromedio-ICQ,3.467801842105263,2.9,4.034210526315789
Manuel Parada,BootPromedio-ICQ,0.2611885,0.115,0.43
Ludwing Mantilla,BootPromedio-ICQ,0.5797984210526316,0.32105263157894737,0.8842105263157894
Luis R. Ordoñez,BootPromedio-ICQ,1.7777155263157896,0.9973684210526316,2.6578947368421053
Emiro Arias,BootPromedio-ICQ,1.2365633333333332,0.15,2.5833333333333335
Jorge Figueroa,BootPromedio-ICQ,0.47303815789473685,0.2657894736842105,0.7157894736842105
Diego Tamayo,BootPromedio-ICQ,3.23785,1.4000000000000001,5.3
Carlos Parra,BootPromedio-ICQ,9.37775394736842,8.420986842105263,10.347434210526316
Jaime Calderón,BootPromedio-ICQ,4.406803947368421,3.7736842105263158,5.007894736842105
Giovanni Álvarez,BootPromedio-ICQ,0.15840473684210526,0.06578947368421052,0.2710526315789474
José Velasquez,BootPromedio-ICQ,0.38176315789473686,0.17361842105263162,0.6368421052631579
Álvaro Torres,BootPromedio-ICQ,0.11814894736842106,0.04473684210526316,0.2105263157894737
Voto en Blanco,BootPromedio-ICQ,6.992745263157895,5.860526315789474,8.065855263157895
Ninguno,BootPromedio-ICQ,7.76352,3,13.3
NS/NR,BootPromedio-ICQ,17.028191,12.09,23.010249999999992
Consuelo Ordoñez,BootPromedio-ICEE,7.429437105263158,6.6790600378881715,8.179814172638144
Fabián Oviedo,BootPromedio-ICEE,10.632122894736842,9.567542018381676,11.696703771092007
Horacio Serpa,BootPromedio-ICEE,11.848058421052631,10.943260651892752,12.75285619021251
Jaime Beltrán,BootPromedio-ICEE,32.48017289473684,30.65964583907389,34.30069995039979
Carlos Sotomonte,BootPromedio-ICEE,3.467801842105263,2.8956247918026006,4.039978892407925
Manuel Parada,BootPromedio-ICEE,0.2611885,0.10464303535517089,0.4177339646448291
Ludwing Mantilla,BootPromedio-ICEE,0.5797984210526316,0.2955418993706959,0.8640549427345672
Luis R. Ordoñez,BootPromedio-ICEE,1.7777155263157896,0.9418252050247407,2.6136058476068387
Emiro Arias,BootPromedio-ICEE,1.2365633333333332,-0.05895166273692043,2.532078329403587
Jorge Figueroa,BootPromedio-ICEE,0.47303815789473685,0.25002309533015776,0.696053220459316
Diego Tamayo,BootPromedio-ICEE,3.23785,1.298129875684313,5.177570124315687
Carlos Parra,BootPromedio-ICEE,9.37775394736842,8.417615356553156,10.337892538183684
Jaime Calderón,BootPromedio-ICEE,4.406803947368421,3.790464146541241,5.023143748195601
Giovanni Álvarez,BootPromedio-ICEE,0.15840473684210526,0.05409512914380005,0.2627143445404105
José Velasquez,BootPromedio-ICEE,0.38176315789473686,0.14975654170555305,0.6137697740839206
Álvaro Torres,BootPromedio-ICEE,0.11814894736842106,0.034439101547929965,0.20185879318891214
Voto en Blanco,BootPromedio-ICEE,6.992745263157895,5.899076388600346,8.086414137715444
Ninguno,BootPromedio-ICEE,7.76352,2.9794117976937686,12.547628202306232
NS/NR,BootPromedio-ICEE,17.028191,11.566359259754435,22.490022740245564
Consuelo Ordoñez,BootMediana-ICQ,7.450035,6.8,8.1
Fabián Oviedo,BootMediana-ICQ,10.602425,9.55,11.25
Horacio Serpa,BootMediana-ICQ,12.052225,11.65,12.5
Jaime Beltrán,BootMediana-ICQ,32.26643,30.85,34.5
Carlos Sotomonte,BootMediana-ICQ,3.386085,2.5,4.15
Manuel Parada,BootMediana-ICQ,0.080275,0,0.35
Ludwing Mantilla,BootMediana-ICQ,0.12801,0,0.45
Luis R. Ordoñez,BootMediana-ICQ,0.55321,0,1.85
Emiro Arias,BootMediana-ICQ,0.762395,0,3.25
Jorge Figueroa,BootMediana-ICQ,0.11576,0,0.55
Diego Tamayo,BootMediana-ICQ,2.86913,0.9,6.1
Carlos Parra,BootMediana-ICQ,9.83754,8,10.9
Jaime Calderón,BootMediana-ICQ,4.943295,4.25,5.65
Giovanni Álvarez,BootMediana-ICQ,7.5e-5,0,0
José Velasquez,BootMediana-ICQ,0.023845,0,0.2
Álvaro Torres,BootMediana-ICQ,3.9999999999999996e-05,0,0
Voto en Blanco,BootMediana-ICQ,7.8089900000000005,6,9
Ninguno,BootMediana-ICQ,7.5661700000000005,3,13.3
NS/NR,BootMediana-ICQ,14.070775,10.45,23.049999999999997
Consuelo Ordoñez,BootMáximo-ICQ,12.18117,11.5,12.5
Fabián Oviedo,BootMáximo-ICQ,18.32501,16.1,19
Horacio Serpa,BootMáximo-ICQ,18.63047,15.4,20.2
Jaime Beltrán,BootMáximo-ICQ,41.334179999999996,40.5,41.5
Carlos Sotomonte,BootMáximo-ICQ,6.93865,6.3,7.1
Manuel Parada,BootMáximo-ICQ,0.97846,0.7,1
Ludwing Mantilla,BootMáximo-ICQ,3.10407,2,3.3
Luis R. Ordoñez,BootMáximo-ICQ,9.12447,5.9,9.5
Emiro Arias,BootMáximo-ICQ,3.57204,0.9,4.5
Jorge Figueroa,BootMáximo-ICQ,2.64514,1.5,3.3
Diego Tamayo,BootMáximo-ICQ,6.91477,3.7,7.7
Carlos Parra,BootMáximo-ICQ,14.88252,12.8,15.2
Jaime Calderón,BootMáximo-ICQ,7.29708,6.1,7.7
Giovanni Álvarez,BootMáximo-ICQ,1.1676900000000001,0.7,1.3
José Velasquez,BootMáximo-ICQ,2.8008200000000003,1.5,3.1
Álvaro Torres,BootMáximo-ICQ,0.9725400000000001,0.4,1.1
Voto en Blanco,BootMáximo-ICQ,13.21892,10,14
Ninguno,BootMáximo-ICQ,11.29735,3,13.3
