Candidato,Método,Intención de voto (%),L. Inferior,L. Superior
Alejandro Eder,t-student,24.509090909090908,22.11743024430803,26.900751573873784
Diana Rojas,t-student,9.823076923076924,7.902101021936701,11.744052824217146
Roberto Ortiz,t-student,33.02272727272727,31.17021786337728,34.875236682077265
Deninson Mendoza,t-student,2.897727272727273,2.328849317662449,3.4666052277920967
Miyerlandi Torres,t-student,10.51590909090909,8.632934190967113,12.398883990851068
Danis Rentería,t-student,6.4772727272727275,5.48379122309729,7.470754231448164
Edilson Huérfano,t-student,1.509090909090909,0.9965320653621147,2.021649752819703
Wilson Ruiz,t-student,1.82,0.5906642372625949,3.049335762737405
Armando Aristizábal,t-student,0.7,-0.4224546964812317,1.8224546964812318
Javier Garcés,t-student,0.9333333333333333,-0.3935562021736172,2.260222868840284
Wilfredo Pardo,t-student,0.16818181818181818,0.06686386440010587,0.2694997719635305
Heriberto Escobar,t-student,0.6772727272727272,0.34326899468163974,1.0112764598638146
Eder Arrieta,t-student,0.3833333333333333,-0.6020563703272536,1.36872303699392
Voto en blanco,t-student,9.318181818181818,8.07065476741151,10.565708868952127
Ninguno,t-student,7.775,4.371183116928927,11.178816883071073
NS/NR,t-student,11.521052631578947,8.842309990118817,14.199795273039076
Alejandro Eder,t-student - log,23.090070693421403,21.57582097336858,26.89730818263436
Diana Rojas,t-student - log,9.200284361291882,7.997131845401298,13.010389607499926
Roberto Ortiz,t-student - log,32.452234110597566,31.570547183977993,35.44607448419977
Deninson Mendoza,t-student - log,2.4717675952213436,2.9794043515375885,4.045496620493515
Miyerlandi Torres,t-student - log,9.375026057606297,9.083128679264103,11.850670567041936
Danis Rentería,t-student - log,5.389198374607337,5.218823123318583,7.822042423259389
Edilson Huérfano,t-student - log,1.050062211668266,1.6881978135772597,2.489492071313979
Wilson Ruiz,t-student - log,1.1891621428625245,1.600385572727989,2.994547669892666
Armando Aristizábal,t-student - log,0.47018694191057087,0.8116776869809462,2.6629408185457426
Javier Garcés,t-student - log,0.6868458061342574,0.9606321438393723,2.962058673469208
Wilfredo Pardo,t-student - log,0.13331994183580492,1.0558770346746593,1.216442870128784
Heriberto Escobar,t-student - log,0.48719094575155186,1.2987979470874564,1.7029106906776352
Eder Arrieta,t-student - log,0.2201661989064553,0.731596980040895,2.0350077892210625
Voto en blanco,t-student - log,8.630743355724954,8.601708081446876,10.782883667477222
Ninguno,t-student - log,7.582724057898359,5.83549163390238,12.62329840832389
NS/NR,t-student - log,10.046912297564742,8.418088939113236,14.49667165466444
Alejandro Eder,BootPromedio-ICQ,24.495824090909093,22.177215909090908,26.745511363636364
Diana Rojas,BootPromedio-ICQ,9.837544615384616,8.053846153846154,11.376923076923077
Roberto Ortiz,BootPromedio-ICQ,33.014911818181815,31.26352272727273,34.77045454545455
Deninson Mendoza,BootPromedio-ICQ,2.895681818181818,2.3613636363636363,3.463693181818181
Miyerlandi Torres,BootPromedio-ICQ,10.506957272727272,8.843011363636364,12.461363636363636
Danis Rentería,BootPromedio-ICQ,6.471767727272727,5.5,7.411363636363636
Edilson Huérfano,BootPromedio-ICQ,1.5091952272727274,1.0363636363636364,2.022727272727273
Wilson Ruiz,BootPromedio-ICQ,1.827766,0.89,3.07
Armando Aristizábal,BootPromedio-ICQ,0.6961766666666667,0.016666666666666666,1.5
Javier Garcés,BootPromedio-ICQ,0.9329966666666667,0.23291666666666702,1.9833333333333334
Wilfredo Pardo,BootPromedio-ICQ,0.1694152272727273,0.07954545454545454,0.27272727272727276
Heriberto Escobar,BootPromedio-ICQ,0.6801409090909091,0.39772727272727276,1.0340909090909092
Eder Arrieta,BootPromedio-ICQ,0.3841766666666666,0,1.15
Voto en blanco,BootPromedio-ICQ,9.325853863636363,8.190909090909091,10.59778409090909
Ninguno,BootPromedio-ICQ,7.7818275,6,9.55
NS/NR,BootPromedio-ICQ,11.531794736842105,9.08421052631579,14.000131578947366
Alejandro Eder,BootPromedio-ICEE,24.495824090909093,22.18505179159744,26.806596390220744
Diana Rojas,BootPromedio-ICEE,9.837544615384616,8.171736687465344,11.503352543303887
Roberto Ortiz,BootPromedio-ICEE,33.014911818181815,31.23345690995438,34.796366726409246
Deninson Mendoza,BootPromedio-ICEE,2.895681818181818,2.344171383939965,3.447192252423671
Miyerlandi Torres,BootPromedio-ICEE,10.506957272727272,8.698946236698616,12.314968308755928
Danis Rentería,BootPromedio-ICEE,6.471767727272727,5.5118941783891104,7.431641276156344
Edilson Huérfano,BootPromedio-ICEE,1.5091952272727274,1.0170802024169487,2.0013102521285058
Wilson Ruiz,BootPromedio-ICEE,1.827766,0.7081314535788734,2.9474005464211266
Armando Aristizábal,BootPromedio-ICEE,0.6961766666666667,-0.08205062013224385,1.4744039534655773
Javier Garcés,BootPromedio-ICEE,0.9329966666666667,0.00451834325059608,1.8614749900827374
Wilfredo Pardo,BootPromedio-ICEE,0.1694152272727273,0.07239199752033972,0.26643845702511487
Heriberto Escobar,BootPromedio-ICEE,0.6801409090909091,0.35742760350940683,1.0028542146724113
Eder Arrieta,BootPromedio-ICEE,0.3841766666666666,-0.30747811231262345,1.0758314456459566
Voto en blanco,BootPromedio-ICEE,9.325853863636363,8.127847151027064,10.523860576245662
Ninguno,BootPromedio-ICEE,7.7818275,5.955882260166207,9.607772739833795
NS/NR,BootPromedio-ICEE,11.531794736842105,9.089770946512395,13.973818527171815
Alejandro Eder,BootMediana-ICQ,27.123215,23.1,29.3
Diana Rojas,BootMediana-ICQ,10.34622,8.4,11
Roberto Ortiz,BootMediana-ICQ,33.98769,32.2,35.45
Deninson Mendoza,BootMediana-ICQ,2.7253,2.1,3.2
Miyerlandi Torres,BootMediana-ICQ,9.08977,8.6,9.9
Danis Rentería,BootMediana-ICQ,7.44409,5,8.649999999999999
Edilson Huérfano,BootMediana-ICQ,1.1740650000000001,0.3,1.8
Wilson Ruiz,BootMediana-ICQ,1.05912,0.45,1.8
Armando Aristizábal,BootMediana-ICQ,0.40437,0,2.05
Javier Garcés,BootMediana-ICQ,0.63036,0.05,2.2
Wilfredo Pardo,BootMediana-ICQ,4.15e-4,0,0
Heriberto Escobar,BootMediana-ICQ,0.39179,0,0.6
