Candidato,Método,Intención de voto (%),L. Inferior,L. Superior
Dumek Turbay,t-student,35.25,29.781745436506267,40.71825456349373
José Osorio,t-student,2.966666666666667,2.255937073618641,3.6773962597146928
William Tirado,t-student,15.416666666666666,12.127114162214513,18.70621917111882
Javier Doria,t-student,1.2666666666666666,0.2964824786391384,2.2368508546941945
Javier Bejarano,t-student,8.35,4.75869078670373,11.941309213296272
Richard Martínez,t-student,0.5833333333333334,-0.31800094689316444,1.4846676135598311
Fabio Aristizábal,t-student,2.75,-3.061922000716225,8.561922000716224
Nausícrate Pérez,t-student,0.8,-0.2303726590130744,1.8303726590130744
Gustavo Martínez,t-student,0.8166666666666667,-0.09196927069153918,1.7253026040248727
Eduardo Villanueva,t-student,0.65,-0.07631257922053422,1.3763125792205344
Judith Flórez,t-student,9.2,6.8505763274013605,11.549423672598637
Jacqueline Perea,t-student,2.9,1.2052345462464746,4.594765453753525
Voto en Blanco,t-student,5.833333333333333,2.929852583917365,8.7368140827493
Ninguno,t-student,4.525,0.8932561006546897,8.156743899345312
NS/NR,t-student,11.6,7.032330261370829,16.167669738629172
Dumek Turbay,t-student - log,34.96396393327275,31.209745491837715,41.44239824486903
José Osorio,t-student - log,2.9190324077187837,3.276956554363196,4.686914445753076
William Tirado,t-student - log,15.188175194413052,13.401853356035337,19.55378925311074
Javier Doria,t-student - log,1.1368440345296738,1.4604528339724983,3.1264977010486854
Javier Bejarano,t-student - log,7.718493409717103,5.53024018035569,13.744814846430714
Richard Martínez,t-student - log,0.4223453462147939,0.8525770607211896,2.372883786232277
Fabio Aristizábal,t-student - log,1.0877174574797333,0.70936471756415,6.1443205086831565
Nausícrate Pérez,t-student - log,0.6156163576071436,0.9618083607704883,2.71386309521865
Gustavo Martínez,t-student - log,0.658221015516046,1.0167739037519217,2.70433468655383
Eduardo Villanueva,t-student - log,0.5326188647871063,0.985120281444611,2.384399782386764
Judith Flórez,t-student - log,8.983023848776655,7.830396978837151,12.727421794143
Jacqueline Perea,t-student - log,2.6211259684803867,2.313947486563645,5.666746266172175
